enable_order_book,active,closed,archived,accepting_orders,accepting_order_timestamp,minimum_order_size,minimum_tick_size,condition_id,question_id,question,description,market_slug,end_date_iso,game_start_time,seconds_delay,fpmm,maker_base_fee,taker_base_fee,notifications_enabled,neg_risk,neg_risk_market_id,neg_risk_request_id,icon,image,rewards,is_50_50_outcome,tokens,tags
True,True,False,False,True,,5,0.001,0x26ee82bee2493a302d21283cb578f7e2fff2dd15743854f53034d12420863b55,0x22b180e61b0628d5a2c3fc05ad0e3bf19a499c492e4e620178519cdea1dacec2,Which party wins 2024 US Presidential Election?,"The 2024 United States presidential election will be held on Tuesday, November 5, 2024.

This market will resolve to the political party whose candidate is elected the next President of the United States in the 2024 election.

The main resolution sources for this market will be  (https://www.archives.gov/electoral-college/results), (http://whitehouse.gov/) and (https://www.fec.gov/). Further official, judicial or other relevant announcements, reports or decisions may also be considered to resolve any ambiguity or uncertainty before the market is settled.

If another party wins other than Democratic or Republican, the market will resolve 50/50.",which-party-will-win-the-2024-united-states-presidential-election,2024-11-08T00:00:00Z,,0,0xcC3BAd8e848bFBbAbD598B48Bd060Cc7DBAEf7Ba,0,0,True,False,,,https://polymarket-upload.s3.us-east-2.amazonaws.com/which-party-will-win-the-2024-united-states-presidential-election-IMmRIV7YSUE_.jpg,https://polymarket-upload.s3.us-east-2.amazonaws.com/which-party-will-win-the-2024-united-states-presidential-election-IMmRIV7YSUE_.jpg,"{'rates': [{'asset_address': '0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174', 'rewards_daily_rate': 20}], 'min_size': 200, 'max_spread': 1.5}",False,"[{'token_id': '11015470973684177829729219287262166995141465048508201953575582100565462316088', 'outcome': 'Democratic', 'price': 0.0015, 'winner': False}, {'token_id': '65444287174436666395099524416802980027579283433860283898747701594488689243696', 'outcome': 'Republican', 'price': 0.9985, 'winner': False}]","['Politics', '2024 presidential election', 'united states', 'Elections', 'USA Election', 'All']"
False,False,False,True,True,,15,0.01,0x760cf20d620a229fd6a611000776667db6d30d8651e449d4a2c4fc65b439bd26,0x9ca9112b747590c41c6444c59d9164f0ac93543ffa8601f9d3c7fcbb4c1c32ed,Will Milton say yes at the altar?,"This market will resolve to ""Yes"" if, in the finale of season 5 of Love is Blind, Milton agrees to marriage at the altar. Otherwise, this market will resolve to ""No"".

The primary resolution source for this market will be the official recording of the finale of season 5 of Love is Blind, however a consensus of credible reporting will also be used.

If the finale of season 5 of Love is Blind is not released by December 31, 2023 ET, this market will resolve 50-50.",will-milton-say-yes-at-the-altar,2023-10-14T00:00:00Z,,0,0x7f7a2f2a5B0620eb2ee352113ac0D3473e32251B,0,0,True,False,,,https://polymarket-upload.s3.us-east-2.amazonaws.com/lib+milton.png,https://polymarket-upload.s3.us-east-2.amazonaws.com/lib+milton.png,"{'rates': None, 'min_size': 0, 'max_spread': 0}",False,"[{'token_id': '28068912664663053088636896099798173256883108659011444948766149929801534523986', 'outcome': 'Yes', 'price': 0.485, 'winner': False}, {'token_id': '75732088062237609379180544601119162120626098318217305202279909728577959755932', 'outcome': 'No', 'price': 0.515, 'winner': False}]",['All']
False,False,False,True,True,,15,0.01,0xc63083ccd78c38fc20729d665ccda94af50567be184df175ccc4d0172ab657ef,0x06859d8fcb0b8260c0db0eb486eadb176240883da9ac62e4a16a35e02dedd8eb,archHamas still holding hostages through end of 2023?,"This market will resolve to “Yes” if Hamas still holds one or more hostages through Dec 31, 2023, 11:59 PM ET. If at any point before then Hamas no longer holds any hostages, this market will resolve to “No.”

The resolution source will be a consensus of reputable, globally recognized news sources.",archhamas-still-holding-hostages-through-end-of-2023,2023-12-31T00:00:00Z,,0,0x9dA4dbf3B12116A0588B6fd6E896DD2DA12B7A82,0,0,True,False,,,https://media.cnn.com/api/v1/images/stellar/prod/231024213612-hostage-released-hamas-yocheved-lifshitz-vpx-mwrmx-00000603.png?c=original,https://media.cnn.com/api/v1/images/stellar/prod/231024213612-hostage-released-hamas-yocheved-lifshitz-vpx-mwrmx-00000603.png?c=original,"{'rates': None, 'min_size': 0, 'max_spread': 0}",False,"[{'token_id': '47218516427874571884009340104131103638506252736902145939678628167405166941816', 'outcome': 'Yes', 'price': 0.785, 'winner': False}, {'token_id': '76397866766374448398645149349179724160804158172211126702573328048096129921837', 'outcome': 'No', 'price': 0.215, 'winner': False}]",['All']
False,False,False,True,True,,15,0.01,0x1da6124f9486788bec368745356994fb9012cf943007c190a8586b60001f3e81,0x8ab8d73218ef46c8cd03d8e9b337f9000b84aec75e85ff7038b55a86812dcad6,Will Stacy say yes at the altar?,"This market will resolve to ""Yes"" if, in the finale of season 5 of Love is Blind, Stacy agrees to marriage at the altar. Otherwise, this market will resolve to ""No"".

The primary resolution source for this market will be the official recording of the finale of season 5 of Love is Blind, however a consensus of credible reporting will also be used.

If the finale of season 5 of Love is Blind is not released by December 31, 2023 ET, this market will resolve 50-50.",will-stacy-say-yes-at-the-altar,2023-10-14T00:00:00Z,,0,0x778ac11360ed1230d55aB04e0afdE28f509D6545,0,0,True,False,,,https://polymarket-upload.s3.us-east-2.amazonaws.com/lib+stacy.png,https://polymarket-upload.s3.us-east-2.amazonaws.com/lib+stacy.png,"{'rates': None, 'min_size': 0, 'max_spread': 0}",False,"[{'token_id': '88202123803475639300423654349030522989811668470849074193647128951799729029079', 'outcome': 'Yes', 'price': 0.485, 'winner': False}, {'token_id': '40232411878619162585147460136674714876032941859185918204991624961909701206442', 'outcome': 'No', 'price': 0.515, 'winner': False}]",['All']
False,False,False,True,True,,15,0.01,0x5c6398a9d2aecd05503e2edb50f69eb1399d2bdabba3ad2c8bc8066d77663844,0xb512614ab4083853389dcf9462ff24aa87e710a932551ab9edd938176fc9f1e9,Will Izzy say yes at the altar?,"This market will resolve to ""Yes"" if, in the finale of season 5 of Love is Blind, Izzy agrees to marriage at the altar. Otherwise, this market will resolve to ""No"".

The primary resolution source for this market will be the official recording of the finale of season 5 of Love is Blind, however a consensus of credible reporting will also be used.

If the finale of season 5 of Love is Blind is not released by December 31, 2023 ET, this market will resolve 50-50.",will-izzy-say-yes-at-the-altar,2023-10-14T00:00:00Z,,0,0x82d294718d1E7c7FEc61d92ce21b57E6cFB8A884,0,0,True,False,,,https://polymarket-upload.s3.us-east-2.amazonaws.com/lib+izzy.png,https://polymarket-upload.s3.us-east-2.amazonaws.com/lib+izzy.png,"{'rates': None, 'min_size': 0, 'max_spread': 0}",False,"[{'token_id': '23859348903275075067685392824340687900960732846432692607804546140067609128461', 'outcome': 'Yes', 'price': 0.485, 'winner': False}, {'token_id': '59958275345454182469139732390082470244946049278802862617927143349450298325001', 'outcome': 'No', 'price': 0.515, 'winner': False}]",['All']
False,False,False,True,True,,15,0.01,0x2b9f654f2ed4c7a162d59f7314fcae6ce8a3a1891db25da94e19c0df1081cb1f,0x0198b13505b6508f30f8e8d8504d066c5653adf061d033a8257918b61a9a2b83,Will Lydia say yes at the altar?,"This market will resolve to ""Yes"" if, in the finale of season 5 of Love is Blind, Lydia agrees to marriage at the altar. Otherwise, this market will resolve to ""No"".

The primary resolution source for this market will be the official recording of the finale of season 5 of Love is Blind, however a consensus of credible reporting will also be used.

If the finale of season 5 of Love is Blind is not released by December 31, 2023 ET, this market will resolve 50-50.",will-lydia-say-yes-at-the-altar,2023-10-14T00:00:00Z,,0,0x0b7c1e0c19CccF5c974C0E2661Dff71F0003F03A,0,0,True,False,,,https://polymarket-upload.s3.us-east-2.amazonaws.com/lib+lydia.png,https://polymarket-upload.s3.us-east-2.amazonaws.com/lib+lydia.png,"{'rates': None, 'min_size': 0, 'max_spread': 0}",False,"[{'token_id': '12164744929276902250203373053053716039969579717947334718225185640922615153535', 'outcome': 'Yes', 'price': 0.485, 'winner': False}, {'token_id': '35542378004824380528279596028235657800016755872031256991013992805991169104438', 'outcome': 'No', 'price': 0.515, 'winner': False}]",['All']
True,True,False,False,True,,5,0.001,0xf5696d8eb7ee5bb4fdd58465f502c8962c8972a4de4d64077662b41e658d2401,0x3b531460141df88db85a8bed54d94b4cae327464665eab9754e8855c81845f76,OpenSea token in 2024?,"This market will resolve to ""Yes"" if OpenSea announces a token by December 31, 2024 11:59 PM ET, or to ""No"" otherwise.

""Announces a token by December 31"" means they confirm by December 31 that they will have a token, regardless of when the token actually launches.

The resolution source is OpenSea (https://opensea.io/blog/, https://twitter.com/opensea, etc.).",opensea-token-in-2024,2024-12-31T00:00:00Z,,0,0xc698Cb6643FF5284F7dC5D88213DE90E45Bf4B1E,0,0,True,False,,,https://polymarket-upload.s3.us-east-2.amazonaws.com/opensea-token-in-2024-b53a3306-ff5f-4239-9069-22f5bf6def5e.png,https://polymarket-upload.s3.us-east-2.amazonaws.com/opensea-token-in-2024-b53a3306-ff5f-4239-9069-22f5bf6def5e.png,"{'rates': None, 'min_size': 0, 'max_spread': 0}",False,"[{'token_id': '72295326721853467109679117688186901548937976776496495029995932391850256603708', 'outcome': 'Yes', 'price': 0.1995, 'winner': False}, {'token_id': '15813819885113216072152272732982314541699379061413472400559002281054448496477', 'outcome': 'No', 'price': 0.8005, 'winner': False}]","['Crypto', 'opensea', 'blockchain', 'future predictions', 'All']"
True,True,False,False,True,,5,0.01,0x0bc614c4fc8a19f63c46fd7f5b270704c3286f0e436e8b02591166f220544e14,0x6e5fdcd5af5fa636193adc9914105684ac27218028fabf458ca1d7c146ffc451,OpenSea token >1 billion a week after launch?,"This market will resolve to ""Yes"" if the Fully Diluted Valuation of OpenSea's token is above $1,000,000,000 1 week after launch. Otherwise, the market will resolve to ""No.""

""1 week after launch"" is defined as 12:00 PM ET, 7 calendar days after it launches. For example, if the token launches at 8 PM ET, March 15, then the FDV at 12:00 PM ET, March 22 will be used.

The resolution source for this market is CoinGecko, specifically the ""Fully Diluted Valuation"" metric.  

If OpenSea doesn't launch a token by December 31, 2024, 11:59:59 PM ET, this market will resolve to 50-50.",opensea-token-1-billion-a-week-after-launch,2024-12-31T00:00:00Z,,0,0x5A647BC428f98f7E73767A61Ab6D13dC5BFe75B5,0,0,True,False,,,https://polymarket-upload.s3.us-east-2.amazonaws.com/opensea-token-1-billion-a-week-after-launch-f8eca6dd-f630-4eac-90cc-4199e2872587.png,https://polymarket-upload.s3.us-east-2.amazonaws.com/opensea-token-1-billion-a-week-after-launch-f8eca6dd-f630-4eac-90cc-4199e2872587.png,"{'rates': None, 'min_size': 0, 'max_spread': 0}",False,"[{'token_id': '44163286845173310190449640356655412603732483959961729651097984470293410575983', 'outcome': 'Yes', 'price': 0.505, 'winner': False}, {'token_id': '95834516785478221990171004200453375582896420847426686234220481976077721682161', 'outcome': 'No', 'price': 0.495, 'winner': False}]","['opensea', 'Crypto', 'blockchain', 'finance', 'token launch', 'All']"
False,False,False,True,True,,5,0.01,0x35609331cb7ed541b32f2f0c3333ec3210420d1ef0e7d363876d2c903b81824c,0xaca78aff65dffd320d0f6f65aa90631fbc1f664df8964480cc6f1517e4da07e3,"arcWill $ETH hit $2,000 or $2,500 first?","arcThis is a market on whether Ethereum ($ETH) will first reach $2000.00 USD or $2500.00 USD between December 04, 2023, 8 AM ET, and July 1, 2024, 12 AM ET.

This market will resolve to ""$2000"" if $ETH drops to $2000.00 USD or less first within the market timeframe. This market will resolve to ""$2500"" if $ETH reaches $2500.00 or more first within the market timeframe.

If the price of $ETH neither drops to $2000.00 or below nor reaches $2500.00 or more within the market timeframe, this market will resolve to 50-50.

The resolution source for this market is https://www.coinbase.com/, specifically the ETH-USD prices currently available at https://www.coinbase.com/advanced-trade/ETH-USD with “1m” and “Candles” selected on the top bar.

Please note that this market is about the price according to Coinbase ETH-USD, not according to other sources or spot markets.",arcwill-eth-hit-2000-or-2500-first,2024-07-01T00:00:00Z,,0,0x777524432e8D91297c4D06E4D5d30F03A8cBbb16,0,0,True,False,,,https://polymarket-upload.s3.us-east-2.amazonaws.com/eth+logo+trans.png,https://polymarket-upload.s3.us-east-2.amazonaws.com/eth+logo+trans.png,"{'rates': None, 'min_size': 0, 'max_spread': 0}",False,"[{'token_id': '40803867196182314642710860122608029214553812002026123242145818272594169156076', 'outcome': '$2000', 'price': 0.5, 'winner': False}, {'token_id': '20684989180750812224306345240456947532707490953072807697536029804548141481742', 'outcome': '$25000', 'price': 0.5, 'winner': False}]","['Crypto', 'Ethereum', 'finance', 'investment', 'market predictions', 'All']"
True,True,False,False,True,,5,0.001,0x6d617a838210e0710a2a946814d1f26ed6bd3ffb76d0ef49959e0d2f75556944,0xfa5d43be36255764600be8bf2a29f288e6c8963c121df8400ddfe6bcbc74470d,Will Elizabeth Warren win the popular vote in the 2024 Presidential Election?,"This market will resolve to “Yes” if Elizabeth Warren is the candidate who receives the most votes in the 2024 U.S. presidential election, otherwise this market will resolve to “No.”

In case of a tie, this market will resolve in favor of the candidate whose last name comes first in alphabetical order.

The resolution source will be an overwhelming consensus of credible reporting as to who is the winner of the popular vote.

Note: An update may be made to this market to allow for early expiration if the candidate is definitively no longer in contention for the presidency.
",will-elizabeth-warren-win-the-popular-vote-in-the-2024-presidential-election,2024-11-05T00:00:00Z,,0,,0,0,True,True,0xfa5d43be36255764600be8bf2a29f288e6c8963c121df8400ddfe6bcbc744700,0x746cc39aee81b755dc96fe95b249d780194978b58357812d3b2321aee336152a,https://polymarket-upload.s3.us-east-2.amazonaws.com/will-elizabeth-warren-win-the-popular-vote-in-the-2024-presidential-election-747a34df-e57f-447f-9627-0f4ad8b8aab2.png,https://polymarket-upload.s3.us-east-2.amazonaws.com/will-elizabeth-warren-win-the-popular-vote-in-the-2024-presidential-election-747a34df-e57f-447f-9627-0f4ad8b8aab2.png,"{'rates': [{'asset_address': '0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174', 'rewards_daily_rate': 5}], 'min_size': 200, 'max_spread': 3.5}",False,"[{'token_id': '102782410757526140429455126413850191766345626760834101578743259194107922948629', 'outcome': 'Yes', 'price': 0.0005, 'winner': False}, {'token_id': '39736414045653384042688027284643069565402187589153790639400550648378593995538', 'outcome': 'No', 'price': 0.9995, 'winner': False}]","['Politics', 'Elections', 'elizabeth warren', '2024 presidential election', 'Popular Vote', 'ron desantis', 'Joe Biden', 'nikki haley', 'michelle obama', 'presidential election 2024', 'election', 'presidential election', 'gavin newsom', 'aoc', 'bernie sanders', 'democrats', 'Trump', 'kamala harris', 'republican party', 'chris christie', 'vivek ramaswamy', 'voting', 'hillary clinton', 'kanye west', 'All', 'US Election']"
